,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Bulgaria","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]"
"Burkina Faso","2600 [1900–3500]","2800 [2100–3800]","3200 [2500–4200]","3600 [2800–4800]","3800 [3000–5200]","4200 [3400–5600]","4600 [3700–6000]","5000 [4000–6500]","5300 [4100–6800]","5600 [4300–7200]","5600 [4500–7200]","5800 [4600–7500]","6200 [4900–8000]","7000 [5700–8800]","7900 [6400–9900]","8600 [7000–11 000]","9500 [7700–12 000]","11 000 [8800–13 000]","12 000 [9500–15 000]","13 000 [10 000–16 000]","13 000 [10 000–16 000]","13 000 [10 000–17 000]","13 000 [10 000–17 000]"
"Burundi","1300 [910–2000]","1300 [990–2100]","1500 [1100–2300]","1800 [1400–2600]","2000 [1600–2800]","2400 [1900–3200]","2900 [2300–3800]","3700 [2900–4700]","4200 [3300–5200]","4500 [3700–5500]","4900 [4000–5900]","5400 [4400–6500]","6100 [5100–7400]","6700 [5700–7900]","7300 [6300–8600]","8300 [7100–9700]","8900 [7700–11 000]","9600 [8300–11 000]","11 000 [9000–13 000]","11 000 [9500–14 000]","12 000 [9500–14 000]","12 000 [9600–15 000]","12 000 [9600–16 000]"
"Cote d'Ivoire","10 000 [7700–13 000]","10 000 [8100–14 000]","11 000 [8900–15 000]","13 000 [10 000–17 000]","15 000 [12 000–20 000]","18 000 [15 000–23 000]","20 000 [16 000–25 000]","22 000 [18 000–28 000]","24 000 [20 000–30 000]","26 000 [21 000–33 000]","28 000 [23 000–35 000]","31 000 [26 000–39 000]","34 000 [28 000–41 000]","37 000 [31 000–45 000]","44 000 [37 000–53 000]","49 000 [42 000–59 000]","53 000 [45 000–63 000]","58 000 [50 000–68 000]","62 000 [53 000–72 000]","63 000 [53 000–74 000]","64 000 [52 000–76 000]","63 000 [51 000–77 000]","62 000 [49 000–76 000]"
"Cabo Verde","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<200 [<100–<200]"
"Cambodia","1100 [740–1400]","1200 [780–1500]","1300 [830–1700]","1400 [910–1800]","1600 [1100–2100]","1700 [1200–2200]","1900 [1300–2400]","2000 [1300–2500]","1900 [1300–2500]","1800 [1300–2400]","1600 [1200–2100]","1500 [1200–2000]","1600 [1200–2000]","1900 [1300–2300]","2300 [1800–2700]","2900 [2400–3400]","3700 [3100–4300]","4500 [3800–5100]","4900 [4100–5500]","5100 [4300–5700]","4800 [4000–5400]","4200 [3600–4800]","3600 [3000–4000]"
"Cameroon","10 000 [8600–12 000]","12 000 [9800–14 000]","13 000 [11 000–16 000]","15 000 [13 000–18 000]","17 000 [14 000–20 000]","20 000 [17 000–23 000]","23 000 [19 000–26 000]","24 000 [21 000–28 000]","24 000 [21 000–29 000]","24 000 [21 000–28 000]","25 000 [22 000–29 000]","26 000 [23 000–31 000]","26 000 [23 000–31 000]","27 000 [24 000–32 000]","28 000 [25 000–33 000]","30 000 [27 000–35 000]","31 000 [27 000–36 000]","30 000 [27 000–35 000]","31 000 [28 000–36 000]","31 000 [28 000–36 000]","29 000 [25 000–33 000]","26 000 [23 000–30 000]","23 000 [20 000–27 000]"
"Canada","No data","No data","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","620 [<500–770]","930 [660–1200]","840 [610–1100]","760 [570–960]","1100 [820–1400]","1600 [1100–2100]","1600 [1100–2000]","1500 [1100–1900]","1400 [1000–1800]","1300 [960–1600]","1100 [860–1400]","1200 [940–1500]","1400 [1100–1700]","1400 [1100–1700]"
"Central African Republic","4500 [2700–7700]","4800 [3000–7700]","5000 [3400–7500]","5400 [3900–7700]","5900 [4400–8000]","6100 [4700–8100]","6300 [5000–8200]","7000 [5700–8900]","8400 [7000–10 000]","9200 [7700–11 000]","9500 [8000–11 000]","9600 [8000–12 000]","9500 [7900–12 000]","9600 [7900–12 000]","11 000 [8700–13 000]","12 000 [10 000–15 000]","13 000 [11 000–16 000]","13 000 [11 000–16 000]","14 000 [11 000–17 000]","13 000 [11 000–17 000]","13 000 [11 000–16 000]","13 000 [11 000–16 000]","12 000 [10 000–16 000]"
"Chad","2800 [2000–3900]","3000 [2200–4200]","3300 [2300–4500]","3500 [2500–4900]","3800 [2700–5200]","4000 [2800–5600]","4200 [2800–5800]","4300 [2800–6100]","4300 [2600–6200]","4200 [2600–6100]","4200 [2700–6200]","4200 [2800–6300]","4100 [2800–6200]","4500 [3100–6700]","5700 [4100–8300]","6800 [5000–9500]","7400 [5500–10 000]","8100 [6000–11 000]","8100 [6000–11 000]","7900 [5900–11 000]","7400 [5500–10 000]","7100 [5200–10 000]","6700 [4800–9600]"
