,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Maldives","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Mali","4900 [3200–6800]","5000 [3400–6800]","5400 [3800–7200]","5500 [3800–7300]","5500 [3800–7200]","5600 [4000–7300]","5700 [4200–7500]","6000 [4500–7700]","6200 [4600–7900]","5900 [4400–7600]","5500 [4000–7100]","5500 [4100–7000]","5800 [4400–7300]","6000 [4600–7500]","6300 [5000–7900]","6800 [5400–8500]","7900 [6300–9600]","8200 [6600–10 000]","8300 [6500–10 000]","8500 [6700–10 000]","8300 [6400–10 000]","8000 [6100–10 000]","7600 [5600–10 000]"
"Malta","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Marshall Islands","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mauritania","<500 [<500–540]","<500 [<500–560]","<500 [<500–570]","<500 [<500–590]","<500 [<500–600]","<500 [<500–620]","510 [<500–630]","520 [<500–650]","540 [<500–650]","570 [<500–690]","590 [<500–700]","570 [<500–680]","550 [<500–670]","560 [<500–670]","570 [<500–680]","600 [<500–710]","630 [530–760]","660 [570–800]","660 [550–800]","630 [510–760]","580 [<500–710]","520 [<500–650]","<500 [<500–600]"
"Mauritius","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mexico","4600 [3700–5600]","4500 [3600–5300]","5000 [4000–5900]","5300 [4300–6300]","5600 [4500–6600]","5700 [4600–6800]","5300 [4200–6300]","5800 [4600–6900]","6300 [5000–7400]","5900 [4800–7000]","6000 [4800–7100]","6200 [5100–7300]","6000 [4900–7000]","5800 [4700–6700]","5600 [4700–6500]","5600 [4700–6500]","5900 [4900–6700]","5900 [5100–6800]","5600 [4800–6400]","5600 [4800–6300]","5900 [5100–6600]","6000 [5200–6700]","6000 [5400–6800]"
"Micronesia (Federated States of)","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Monaco","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Mongolia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Montenegro","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Morocco","<500 [<500–<500]","<500 [<500–560]","<500 [<500–620]","500 [<500–660]","570 [<500–740]","600 [<500–770]","630 [<500–800]","680 [530–860]","710 [570–900]","750 [600–940]","830 [680–1000]","890 [730–1100]","890 [730–1100]","870 [710–1100]","870 [720–1100]","860 [700–1100]","820 [660–1000]","760 [610–990]","730 [590–950]","780 [630–1000]","800 [650–1000]","730 [570–970]","660 [510–900]"
"Mozambique","48 000 [42 000–55 000]","50 000 [44 000–58 000]","50 000 [42 000–59 000]","49 000 [42 000–59 000]","47 000 [40 000–57 000]","48 000 [42 000–57 000]","51 000 [45 000–60 000]","56 000 [50 000–67 000]","65 000 [58 000–76 000]","75 000 [66 000–87 000]","77 000 [68 000–90 000]","75 000 [66 000–88 000]","76 000 [67 000–88 000]","74 000 [66 000–86 000]","75 000 [67 000–87 000]","80 000 [72 000–93 000]","86 000 [77 000–99 000]","84 000 [76 000–97 000]","79 000 [71 000–91 000]","73 000 [66 000–84 000]","66 000 [59 000–77 000]","59 000 [52 000–69 000]","51 000 [45 000–60 000]"
"Myanmar","6400 [4000–9600]","5900 [3800–8800]","6700 [4100–9700]","7100 [4700–10 000]","7400 [5200–9900]","7700 [5700–10 000]","8300 [6600–10 000]","9100 [7400–11 000]","9800 [8200–11 000]","10 000 [8900–12 000]","11 000 [9700–13 000]","12 000 [10 000–13 000]","12 000 [11 000–14 000]","12 000 [11 000–14 000]","12 000 [11 000–14 000]","12 000 [11 000–14 000]","12 000 [11 000–14 000]","12 000 [10 000–13 000]","11 000 [9600–12 000]","9900 [8700–11 000]","8800 [7700–10 000]","7700 [6700–8800]","6600 [5700–7600]"
"Namibia","3100 [2500–3700]","3000 [2500–3700]","3100 [2600–3800]","3600 [3000–4300]","3700 [3100–4400]","3700 [3200–4700]","3500 [3000–4300]","3400 [2900–4300]","3100 [2700–3800]","3400 [3000–4200]","3700 [3300–4500]","3800 [3400–4600]","4000 [3500–4900]","4400 [3800–5400]","5200 [4600–6300]","6800 [6100–8100]","8900 [8000–10 000]","11 000 [9700–12 000]","12 000 [11 000–14 000]","12 000 [11 000–14 000]","11 000 [10 000–13 000]","10 000 [9100–12 000]","9000 [8100–10 000]"
"Nauru","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Nepal","<500 [<500–<500]","<500 [<500–560]","570 [<500–730]","730 [560–930]","880 [690–1100]","1000 [850–1300]","1200 [940–1400]","1200 [1000–1500]","1400 [1100–1600]","1500 [1200–1800]","1500 [1300–1800]","1600 [1300–1900]","1700 [1400–2000]","1800 [1500–2100]","1900 [1600–2200]","2000 [1700–2300]","1900 [1700–2200]","1800 [1600–2000]","1600 [1400–1800]","1300 [1100–1500]","1000 [900–1200]","790 [680–920]","570 [<500–660]"
"Netherlands (Kingdom of the)","No data","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"New Zealand","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Nicaragua","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]"
"Niger","1100 [970–1300]","1200 [1100–1500]","1300 [1100–1500]","1300 [1100–1500]","1400 [1200–1700]","1600 [1400–1900]","1800 [1500–2100]","2000 [1700–2400]","1900 [1600–2300]","1900 [1600–2300]","2100 [1700–2600]","2300 [1900–2800]","2500 [2100–3100]","3200 [2700–3800]","3900 [3300–4500]","4000 [3500–4700]","4300 [3700–5100]","4500 [4000–5400]","4600 [4100–5400]","4500 [4000–5400]","4400 [3800–5200]","4100 [3600–5000]","3800 [3300–4600]"
"Nigeria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Niue","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"North Macedonia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Norway","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Oman","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Pakistan","12 000 [10 000–13 000]","11 000 [9700–12 000]","9600 [8300–11 000]","8600 [7300–9800]","8000 [6900–9100]","7400 [6400–8400]","6700 [5800–7700]","5900 [5000–6800]","5100 [4300–5900]","4300 [3600–5000]","3500 [2900–4100]","2700 [2200–3300]","2000 [1600–2400]","1400 [1200–1700]","990 [780–1200]","650 [520–790]","<500 [<500–<500]","<200 [<200–<500]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Palau","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Panama","570 [<500–670]","660 [520–780]","570 [<500–670]","<500 [<500–590]","<500 [<500–530]","<500 [<500–530]","500 [<500–590]","530 [<500–610]","520 [<500–600]","540 [<500–630]","540 [<500–620]","530 [<500–620]","<500 [<500–580]","560 [<500–640]","620 [520–720]","600 [500–690]","590 [<500–670]","580 [<500–660]","560 [<500–640]","530 [<500–610]","510 [<500–590]","<500 [<500–580]","<500 [<500–520]"
"Papua New Guinea","1100 [930–1300]","1100 [920–1400]","1000 [890–1300]","990 [840–1200]","960 [830–1200]","920 [790–1200]","880 [760–1100]","860 [740–1100]","940 [800–1200]","1100 [920–1400]","1200 [990–1500]","1200 [980–1500]","1100 [910–1400]","1000 [850–1300]","1100 [880–1300]","1200 [1000–1500]","1400 [1200–1700]","1400 [1200–1700]","1300 [1100–1500]","1100 [900–1300]","890 [730–1100]","730 [590–950]","580 [<500–770]"
"Paraguay","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<200 [<200–<500]","<200 [<200–<200]"
"Peru","970 [690–1400]","980 [710–1300]","980 [720–1300]","1100 [810–1400]","1200 [930–1600]","1400 [1100–1900]","1800 [1200–2400]","1900 [1300–2600]","2000 [1300–2700]","1900 [1300–2700]","2000 [1400–2700]","2100 [1600–2900]","2600 [2000–3300]","3500 [2700–4400]","4100 [3300–5200]","4600 [3800–5700]","5300 [4400–6500]","6000 [5100–7300]","6200 [5300–7400]","6300 [5300–7500]","6600 [5600–7900]","6700 [5700–8100]","6600 [5600–8000]"
"Philippines","1500 [1000–2000]","1200 [790–1600]","920 [640–1300]","800 [560–1100]","700 [<500–920]","610 [<500–790]","510 [<500–640]","<500 [<500–550]","<500 [<500–510]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Poland","No data","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]"
"Portugal","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–520]","<500 [<500–590]","570 [<500–680]","670 [520–810]","790 [610–960]","860 [660–1000]","880 [680–1100]","910 [700–1100]","930 [710–1100]","950 [730–1100]","970 [750–1200]","1000 [780–1200]","1000 [810–1200]","1100 [840–1300]","1100 [890–1400]"
"Qatar","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Republic of Moldova","<500 [<500–860]","510 [<500–920]","<500 [<500–870]","<500 [<500–840]","500 [<500–920]","540 [<500–990]","570 [<500–1000]","600 [<500–1100]","630 [<500–1200]","650 [<500–1200]","660 [<500–1200]","670 [<500–1200]","670 [<500–1200]","650 [<500–1200]","650 [<500–1200]","650 [<500–1200]","640 [<500–1200]","610 [<500–1100]","560 [<500–1000]","510 [<500–930]","<500 [<500–800]","<500 [<500–670]","<500 [<200–540]"
"Romania","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]"
"Russian Federation","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Rwanda","2700 [2300–3300]","2700 [2300–3600]","2900 [2400–3800]","3100 [2700–4100]","3200 [2800–4200]","3500 [3100–4400]","3900 [3300–4900]","4200 [3500–5400]","4500 [3600–5900]","4900 [3900–6400]","5500 [4200–7200]","6100 [4600–7800]","7000 [5400–8800]","7800 [6200–9600]","8900 [7200–11 000]","10 000 [8600–12 000]","12 000 [10 000–14 000]","15 000 [13 000–18 000]","18 000 [16 000–21 000]","19 000 [16 000–22 000]","18 000 [15 000–21 000]","17 000 [15 000–21 000]","17 000 [14 000–20 000]"
"Saint Kitts and Nevis","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Saint Lucia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Saint Vincent and the Grenadines","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Samoa","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"San Marino","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Sao Tome and Principe","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<500]","<200 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]"
"Saudi Arabia","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–510]","<500 [<500–510]","<500 [<500–510]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–500]","<500 [<500–500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]"
"Senegal","1000 [800–1300]","1100 [860–1300]","1200 [950–1500]","1300 [1100–1600]","1600 [1300–1900]","1700 [1400–2100]","1900 [1500–2300]","2000 [1600–2500]","2200 [1800–2700]","2300 [1800–2900]","2200 [1800–2800]","2000 [1700–2600]","2000 [1600–2500]","2000 [1600–2500]","2100 [1800–2600]","2900 [2500–3500]","3800 [3300–4400]","3600 [3100–4300]","3400 [2900–4100]","3200 [2700–3800]","2900 [2400–3500]","2600 [2200–3200]","2300 [1900–2800]"
"Serbia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Seychelles","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Sierra Leone","2300 [1800–2900]","2500 [1900–3200]","2700 [2100–3500]","2800 [2200–3600]","3000 [2400–3700]","3300 [2600–4100]","3500 [2800–4300]","3800 [3100–4600]","3900 [3200–4700]","3800 [3100–4700]","3700 [2900–4600]","3800 [3000–4700]","4000 [3200–5000]","4300 [3500–5300]","4500 [3700–5700]","4700 [3800–5900]","4700 [3800–6000]","4700 [3700–6000]","4500 [3500–5800]","4300 [3200–5600]","4000 [3000–5300]","3500 [2500–4900]","3200 [2300–4500]"
"Singapore","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Slovakia","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Slovenia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Solomon Islands","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Somalia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"South Africa","45 000 [31 000–90 000]","45 000 [32 000–90 000]","48 000 [34 000–92 000]","51 000 [36 000–97 000]","55 000 [39 000–110 000]","62 000 [41 000–120 000]","69 000 [44 000–130 000]","72 000 [44 000–140 000]","77 000 [45 000–150 000]","87 000 [49 000–170 000]","100 000 [55 000–190 000]","120 000 [62 000–230 000]","150 000 [75 000–280 000]","170 000 [87 000–310 000]","190 000 [100 000–320 000]","220 000 [130 000–360 000]","250 000 [140 000–370 000]","250 000 [160 000–370 000]","250 000 [170 000–370 000]","240 000 [160 000–340 000]","210 000 [140 000–310 000]","190 000 [130 000–270 000]","170 000 [120 000–240 000]"
"South Sudan","7600 [5000–11 000]","7900 [5300–11 000]","8500 [5800–12 000]","8900 [6200–13 000]","9700 [6900–14 000]","11 000 [8300–15 000]","12 000 [9300–17 000]","13 000 [9600–17 000]","14 000 [11 000–19 000]","14 000 [11 000–19 000]","14 000 [11 000–19 000]","14 000 [10 000–18 000]","13 000 [9900–18 000]","13 000 [9600–17 000]","12 000 [9300–17 000]","12 000 [8600–16 000]","11 000 [8000–15 000]","11 000 [7400–14 000]","9800 [6700–13 000]","9100 [6100–12 000]","8400 [5400–11 000]","7600 [4700–10 000]","6900 [4200–9500]"
"Spain","640 [510–780]","650 [510–790]","650 [520–800]","650 [510–800]","660 [520–810]","670 [540–830]","700 [570–870]","750 [610–920]","790 [640–970]","850 [680–1000]","940 [750–1100]","1000 [800–1200]","1200 [930–1400]","1400 [1100–1700]","1600 [1300–1900]","1800 [1400–2100]","2000 [1500–2300]","2100 [1700–2500]","2300 [1800–2700]","2400 [1800–2800]","2400 [1900–2900]","2600 [2000–3200]","2700 [2100–3300]"
"Sri Lanka","<100 [<100–<100]","<100 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<100]"
"Sudan","1900 [1500–2500]","1800 [1400–2200]","1700 [1300–2100]","1700 [1400–2100]","1700 [1400–2200]","1800 [1400–2200]","1900 [1500–2400]","1900 [1600–2400]","1900 [1500–2400]","1900 [1500–2400]","1900 [1400–2400]","1800 [1300–2400]","1700 [1200–2300]","1700 [1300–2300]","1900 [1500–2500]","2000 [1600–2600]","1900 [1500–2500]","1800 [1400–2400]","1700 [1300–2300]","1600 [1200–2300]","1500 [1100–2200]","1400 [970–2000]","1300 [860–1900]"
"Suriname","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]"
"Sweden","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Switzerland","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Syrian Arab Republic","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Turkiye","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Tajikistan","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Thailand","11 000 [8800–14 000]","12 000 [9600–15 000]","13 000 [11 000–17 000]","15 000 [12 000–19 000]","16 000 [12 000–20 000]","17 000 [13 000–22 000]","19 000 [15 000–24 000]","21 000 [16 000–26 000]","23 000 [18 000–29 000]","25 000 [19 000–31 000]","26 000 [20 000–33 000]","28 000 [21 000–35 000]","31 000 [24 000–39 000]","33 000 [26 000–41 000]","36 000 [28 000–44 000]","38 000 [30 000–47 000]","41 000 [33 000–50 000]","48 000 [40 000–57 000]","56 000 [48 000–65 000]","61 000 [53 000–69 000]","61 000 [53 000–70 000]","60 000 [52 000–68 000]","56 000 [49 000–63 000]"
