Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR5,West Bengal,Industry,-,2064840.34,2076867.13,2047706.69,2040824.44,2133973.0,2223700.44,2251233.63,2299387.75,2325305.69,2318870.25,2460869.19
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,2064840.38,2076867.17,2047706.69,2040824.48,2133973.02,2223700.43,2251233.67,2299387.76,2325305.62,2318870.24,2460869.27
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,West Bengal,Industry,-,2064840.34,2076867.13,2047706.69,2040824.44,2133973.0,2223700.44,2251233.63,2299387.75,2325305.69,2318870.25,2460869.19
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,N2O (t),West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CH4 (t),Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2 (t),Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GTP-AR2,Gujarat,Industry,-,167523.6,170002.8,134231.38,119710.31,160440.15,174252.88,168940.29,146981.59,125377.06,122543.69,122189.52
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GTP-AR5,Gujarat,Industry,-,145187.11,147335.76,116333.86,103748.93,139048.13,151019.16,146414.91,127384.04,108660.12,106204.53,105897.58
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,192341.9,195188.4,154117.51,137445.17,184209.05,200068.11,193968.47,168756.64,143951.45,140698.31,140291.66
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR5,Gujarat,Industry,-,164421.3,166854.61,131745.62,117493.45,157469.03,171025.97,165811.76,144259.71,123055.27,120274.36,119926.75
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,N2O (t),Gujarat,Industry,-,620.46,629.64,497.15,443.37,594.22,645.38,625.7,544.38,464.36,453.87,452.55
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CH4 (t),Kerala,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2 (t),Kerala,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GTP-AR2,Kerala,Industry,-,119823.91,121597.2,96011.12,85624.69,114757.36,124637.13,120837.22,105130.91,89677.94,87651.31,87397.98
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GTP-AR5,Kerala,Industry,-,103847.38,105384.24,83209.64,74208.07,99456.38,108018.84,104725.59,91113.46,77720.88,75964.47,75744.92
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,137575.6,139611.6,110234.99,98309.84,131758.45,143101.89,138739.03,120705.86,102963.56,100636.7,100345.84
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR5,Kerala,Industry,-,117604.95,119345.4,94233.14,84039.05,112632.22,122329.03,118599.49,103184.04,88017.23,86028.14,85779.5
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,N2O (t),Kerala,Industry,-,443.79,450.36,355.6,317.13,425.03,461.62,447.55,389.37,332.14,324.63,323.7
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CH4 (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2 (t),Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2e (t) GTP-AR2,Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2e (t) GTP-AR5,Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2e (t) GWP-AR5,Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,N2O (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CH4 (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2 (t),Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
