Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Chandigarh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,,,7523.64,6144.13,6166.91,8642.47,9511.22,9300.59,10281.51,11110.23,12023.96,12486.88,14372.29
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,,,0.0,223.88,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Delhi,,,26743.18,28768.41,30450.15,29664.61,30621.23,31656.48,32778.65,32697.07,33744.14,36593.42,37171.37
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Goa,,,5893.56,3589.74,7071.39,8549.83,8287.16,8492.74,9351.2,10625.77,11452.1,13089.43,14852.17
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Gujarat,,,26528.45,19133.48,29723.89,38624.46,41619.18,44559.67,49621.18,52670.41,55933.91,58563.02,58305.78
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Haryana,,,8899.43,9218.05,8912.77,8804.31,10620.05,11492.13,11048.37,10978.89,11344.5,12736.4,13292.72
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,,,19.06,2.86,0.0,0.0,0.0,0.0,72.91,71.2,83.11,108.27,96.07
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,,,3342.69,3566.77,3925.32,4214.59,4584.58,4510.62,5321.8,5716.76,5990.2,5529.0,4513.57
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Jharkhand,,,8291.93,10326.88,13534.14,10837.45,10160.37,10057.25,9529.81,9973.95,10344.61,9706.61,9396.18
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Karnataka,,,64576.0,58518.03,67077.11,75528.2,76497.41,79067.9,81313.78,90058.9,93183.53,93672.37,95549.2
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Kerala,,,11848.69,11236.04,11791.21,12309.98,12803.69,14616.09,16500.27,16429.45,15722.54,15615.03,14842.45
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,,,54524.94,55619.76,60463.49,63100.89,65803.87,67714.45,62900.36,61010.28,62394.27,58455.51,57527.58
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Maharashtra,,,39501.5,40083.36,49932.65,57292.26,62960.79,65894.32,70504.54,73561.02,77503.87,81144.89,82591.4
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Manipur,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Meghalaya,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Mizoram,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Nagaland,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,7.62,10.48,8.58
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Odisha,,,42266.62,46274.0,41661.69,43844.66,42819.6,44394.12,39812.11,42062.08,45229.12,49388.43,55482.04
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Puducherry,,,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Punjab,,,23628.18,26161.31,26331.82,26742.23,26502.05,26771.77,26409.21,27071.81,29747.14,30739.7,30604.45
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Rajasthan,,,48846.4,52675.08,59492.29,63340.03,69196.51,74082.93,78702.01,85170.95,89944.62,101694.76,102767.56
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Sikkim,,,198.43,148.49,27.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,,,30321.86,29748.19,30256.29,31943.46,30740.27,30362.37,32142.27,33339.17,34478.02,33774.16,30426.99
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Telangana,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26103.56,35154.43
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Tripura,,,0.0,0.0,0.0,0.0,6.29,7.53,7.53,4.77,3.81,0.95,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,,,115002.35,121554.21,121764.27,129898.18,141612.19,150918.97,160085.55,164309.38,166741.97,170694.55,175567.06
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,,,0.0,22.59,7.53,0.0,0.0,0.0,0.0,0.0,2.86,20.4,205.49
Energy,Fuel Combustion Emissions,Transport,Road,,HSDO,,Emissions,CO2e (t) GWP-AR2,West Bengal,,,52222.46,49961.34,50699.6,54160.39,55272.46,59632.96,60724.64,65326.66,69022.95,63269.21,65069.23
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,,,21219.96,39680.41,67129.51,75644.14,82259.2,84312.56,87476.18,87063.43,86096.28,27971.03,6603.3
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Assam,,,0.0,10.29,136.07,199.72,291.96,215.95,164.88,122.19,95.09,49.99,16.01
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Bihar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Chandigarh,,,516.7,1536.64,2500.22,2694.43,6944.54,11549.83,13062.33,11463.67,9693.36,8456.57,10859.9
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,,,32.45,716.45,1118.67,1004.83,1305.96,1001.61,1037.68,1140.4,825.8,477.92,557.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,,,0.0,0.0,0.0,8.44,62.84,54.18,35.79,36.49,16.47,2.34,4.57
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Delhi,,,2840.84,9245.11,16908.71,17402.82,20371.02,19719.35,16170.78,11274.19,7722.59,5137.67,3976.28
Energy,Fuel Combustion Emissions,Transport,Road,,Auto LPG ,,Emissions,CO2e (t) GWP-AR2,Goa,,,0.0,0.0,30.48,432.98,1093.94,1198.15,1109.81,414.39,84.06,37.73,65.68
