Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Metal Industry,Aluminium Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Odisha,Industry,-,813979.04,997325.18,1113352.84,1207945.03,1368515.51,1538226.01,1619206.46,1738378.95,1694698.09,1785934.01,2038377.0
Industrial Product and Process Use,Metal Industry,Aluminium Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,403046.67,493831.62,551283.43,598121.32,677628.77,682959.03,686927.59,664079.21,663014.55,672240.53,675072.75
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Goa,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Haryana,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Haryana,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Karnataka,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
